    n_win  win_start  win_end      seg_sites_branch            tajimas_d_site          tajimas_d_branch                diversity     Gen
0       0        0.0   4999.0            [9216.644]     [-1.2845678975144474]     [-1.1459512603209892]    [0.00952786934673364]   595.0
1       1     5000.0   9999.0   [8915.000000000002]     [-1.1457506906074286]     [-1.1168075337965822]   [0.009358994974874333]   595.0
2       2    10000.0  14999.0   [8915.000000000002]     [-1.1655403062051164]     [-1.1168075337965826]   [0.009748221105527618]   595.0
3       3    15000.0  19999.0           [8912.2476]     [-0.9102258080662861]     [-1.1172709485801624]   [0.010675979899497439]   595.0
4       4    20000.0  24999.0   [8858.000000000002]     [-1.1304520030697158]     [-1.1245700619449606]    [0.00927354773869344]   595.0
5       5    25000.0  29999.0   [8858.000000000002]     [-1.1015709632412662]     [-1.1245700619449692]   [0.011042522613065282]   595.0
6       6    30000.0  34999.0   [8858.000000000002]     [-1.1165347783409256]      [-1.124570061944969]    [0.01033951758793966]   595.0
7       7    35000.0  39999.0   [8858.000000000002]      [-0.964574066263019]     [-1.1245700619449692]   [0.010996492462311507]   595.0
8       8    40000.0  44999.0   [8856.822200000002]     [-1.1235616236138084]     [-1.1254779884049837]   [0.010015738693467304]   595.0
9       9    45000.0  49999.0   [8721.911000000002]     [-1.0241161317129075]     [-1.1684081892431455]   [0.011332562814070307]   595.0
10     10    50000.0  54999.0   [8310.000000000002]     [-1.3535016010042948]      [-1.305357217029067]   [0.008809376884422095]   595.0
11     11    55000.0  59999.0   [8324.144000000002]     [-1.1968744605141544]      [-1.315078227407374]    [0.00919062311557786]   595.0
12     12    60000.0  64999.0   [8414.000000000002]     [-1.3714362666456752]      [-1.376071896266748]    [0.00815496482412058]   595.0
13     13    65000.0  69999.0   [8414.000000000002]      [-1.308303036749032]      [-1.376071896266749]   [0.008862381909547716]   595.0
14     14    70000.0  74999.0   [8413.999999999998]      [-1.259786907343798]     [-1.3760718962667569]   [0.008215979899497464]   595.0
15     15    75000.0  79999.0   [8413.999999999998]     [-1.3334487015891987]     [-1.3760718962667569]   [0.007703688442211039]   595.0
16     16    80000.0  84999.0   [8404.607999999998]       [-1.49117896233515]     [-1.3739489224316723]   [0.007878211055276361]   595.0
17     17    85000.0  89999.0   [8397.999999999998]     [-1.0952922029740442]     [-1.3724524000054636]   [0.009025547738693447]   595.0
18     18    90000.0  94999.0   [8397.999999999998]     [-1.2669408121761752]      [-1.372452400005471]   [0.007916311557788934]   595.0
19     19    95000.0  99999.0   [8397.999999999996]     [-1.5884225686943594]       [-1.37245240000547]   [0.006788934673366838]   595.0
0       0        0.0   4999.0            [8844.644]     [-1.0651573916541748]     [-0.9091360146944384]   [0.010274150753768824]   600.0
1       1     5000.0   9999.0   [8543.000000000002]     [-0.8546705952408317]     [-0.8836602415381839]    [0.01003262311557786]   600.0
2       2    10000.0  14999.0   [8543.000000000002]     [-0.9049453055683513]     [-0.8836602415381836]   [0.010283567839195953]   600.0
3       3    15000.0  19999.0   [8543.000000000002]     [-0.6918349661226332]     [-0.8836602415381836]   [0.011371929648241172]   600.0
4       4    20000.0  24999.0   [8543.000000000002]     [-0.9611837630901957]     [-0.8836602415381827]   [0.010079557788944697]   600.0
5       5    25000.0  29999.0   [8543.000000000002]     [-0.8433143718558622]     [-0.8836602415381798]   [0.011818532663316537]   600.0
6       6    30000.0  34999.0   [8543.000000000002]     [-0.7824716734506701]      [-0.883660241538179]   [0.011167758793969822]   600.0
7       7    35000.0  39999.0   [8543.000000000002]     [-0.6775357050274718]     [-0.8836602415381793]   [0.011894422110552728]   600.0
8       8    40000.0  44999.0           [8567.3412]     [-0.8857584488914688]     [-0.8914213712885752]   [0.010715748743718565]   600.0
9       9    45000.0  49999.0   [8471.911000000002]     [-0.8167149292797271]     [-0.9546552439549342]   [0.012206251256281359]   600.0
10     10    50000.0  54999.0   [8060.000000000002]      [-1.172355707218171]      [-1.124207764531448]   [0.009411597989949722]   600.0
11     11    55000.0  59999.0   [8074.144000000001]      [-1.040849791898251]     [-1.1413252250095332]   [0.009605567839195962]   600.0
12     12    60000.0  64999.0   [8164.000000000002]     [-1.2988520721567642]     [-1.2486861425147269]   [0.008376613065326626]   600.0
13     13    65000.0  69999.0   [8164.000000000002]     [-1.2670572084603746]     [-1.2486861425147304]   [0.009179678391959791]   600.0
14     14    70000.0  74999.0   [8164.000000000002]     [-1.2311864403490227]     [-1.2486861425147182]    [0.00863250251256281]   600.0
15     15    75000.0  79999.0   [8164.000000000002]     [-1.1663719434323119]     [-1.2486861425147187]    [0.00802374874371859]   600.0
16     16    80000.0  84999.0   [8118.875000000002]     [-1.3395784105746116]     [-1.2377883885774819]    [0.00809742713567839]   600.0
17     17    85000.0  89999.0   [8066.790000000002]     [-1.0316290572809699]      [-1.225052002093615]    [0.00908985929648241]   600.0
18     18    90000.0  94999.0   [8064.000000000002]     [-1.2070586021390206]      [-1.224357618448502]   [0.008289929648241212]   600.0
19     19    95000.0  99999.0   [8064.000000000002]     [-1.3811045353162905]      [-1.224357618448502]   [0.007214020100502508]   600.0
0       0        0.0   4999.0            [8455.644]     [-0.7067741393025604]     [-0.7743732948797355]   [0.010399306532663296]   695.0
1       1     5000.0   9999.0   [8154.547000000001]     [-0.9696727698305545]      [-0.851561401649977]   [0.009707477386934636]   695.0
2       2    10000.0  14999.0   [8159.000000000002]     [-0.8293760154854389]     [-0.8528898042034527]   [0.010014231155778862]   695.0
3       3    15000.0  19999.0   [8448.378200000001]       [-0.92302912164317]     [-0.8862892011699396]   [0.010762381909547694]   695.0
4       4    20000.0  24999.0            [8462.093]     [-0.9487960677296636]     [-0.9159769733462749]   [0.009605798994974843]   695.0
5       5    25000.0  29999.0   [8462.000000000002]      [-0.875735341634164]     [-0.9161211418038199]   [0.011258864321607987]   695.0
6       6    30000.0  34999.0   [8462.000000000002]     [-0.8826813520105504]     [-0.9161211418038194]   [0.011101447236180857]   695.0
7       7    35000.0  39999.0   [8462.000000000002]     [-0.7539895220290544]      [-0.916121141803819]   [0.011142512562814018]   695.0
8       8    40000.0  44999.0   [8462.000000000002]     [-0.8892739898729894]      [-0.916121141803819]   [0.009983336683417058]   695.0
9       9    45000.0  49999.0   [8328.911000000002]     [-0.7364649901489954]     [-0.9711803678788345]   [0.012853085427135622]   695.0
10     10    50000.0  54999.0   [7917.000000000002]     [-1.0958527194354213]      [-1.153319684724371]   [0.008888020100502493]   695.0
11     11    55000.0  59999.0   [7917.000000000002]     [-1.1170317070115297]      [-1.153319684724371]    [0.00937825125628139]   695.0
12     12    60000.0  64999.0   [7899.276000000003]     [-1.2437517327809242]      [-1.148662892182839]    [0.00801138693467336]   695.0
13     13    65000.0  69999.0   [7918.252800000001]      [-1.337633657463207]     [-1.1877740922817925]   [0.008425507537688426]   695.0
14     14    70000.0  74999.0   [7920.000000000002]     [-1.2406184245694811]     [-1.1909031959405025]   [0.008108221105527636]   695.0
15     15    75000.0  79999.0   [7920.000000000002]      [-1.158210459217907]      [-1.190903195940503]   [0.008646341708542704]   695.0
16     16    80000.0  84999.0   [7920.000000000002]      [-1.183614513517122]      [-1.190903195940503]     [0.0084523216080402]   695.0
17     17    85000.0  89999.0   [7920.000000000002]      [-1.246004481397707]      [-1.190903195940502]   [0.008567537688442203]   695.0
18     18    90000.0  94999.0   [7920.000000000002]     [-0.9757659660319611]     [-1.1909031959404994]    [0.00884850251256281]   695.0
19     19    95000.0  99999.0   [7920.000000000002]     [-1.3928241766549796]     [-1.1909031959405003]   [0.007380793969849242]   695.0
0       0        0.0   4999.0            [8399.644]      [-0.798437951449086]     [-0.8671281684211449]   [0.010042381909547732]   700.0
1       1     5000.0   9999.0   [8098.547000000001]     [-1.0309951453426374]     [-0.9251892404754586]   [0.009301346733668338]   700.0
2       2    10000.0  14999.0   [8103.000000000002]     [-0.9694413528984671]     [-0.9264582314095522]   [0.009541527638190953]   700.0
3       3    15000.0  19999.0   [8392.378200000001]     [-0.9318388772320325]     [-0.9738772694366967]    [0.01021160804020099]   700.0
4       4    20000.0  24999.0           [8406.0726]     [-1.0707564971941377]     [-0.9970546246910341]   [0.009176361809045207]   700.0
5       5    25000.0  29999.0   [8405.999999999996]     [-0.9594977604153299]     [-0.9971572749554898]   [0.010614170854271337]   700.0
6       6    30000.0  34999.0   [8405.999999999996]     [-0.9895871264857646]     [-0.9971572749554909]   [0.010613638190954747]   700.0
7       7    35000.0  39999.0   [8405.999999999998]      [-0.825189309235128]     [-0.9971572749554904]   [0.010615417085427127]   700.0
8       8    40000.0  44999.0   [8405.999999999996]     [-0.8930985521869168]     [-0.9971572749554909]   [0.009621648241206015]   700.0
9       9    45000.0  49999.0   [8272.910999999995]     [-0.9227613097375378]     [-1.0497620276635176]     [0.0121511658291457]   700.0
10     10    50000.0  54999.0   [7860.999999999988]       [-1.26177408662354]     [-1.2238616373227151]   [0.008539949748743714]   700.0
11     11    55000.0  59999.0   [7860.999999999988]      [-1.167040704639496]     [-1.2238616373227158]    [0.00908789949748743]   700.0
12     12    60000.0  64999.0   [7843.275999999993]     [-1.3308371948509436]     [-1.2195246133797903]  [0.0077545728643215964]   700.0
13     13    65000.0  69999.0   [7862.252799999991]     [-1.3430316945073835]     [-1.2427600480851808]   [0.008281587939698477]   700.0
14     14    70000.0  74999.0   [7863.016199999984]     [-1.3174727750033437]      [-1.245544936466734]   [0.007810070351758792]   700.0
15     15    75000.0  79999.0   [7862.999999999982]     [-1.2742005527137688]     [-1.2455598109204986]   [0.008340703517587929]   700.0
16     16    80000.0  84999.0   [7862.999999999984]     [-1.1412073529787705]     [-1.2455598109204986]   [0.008277517587939688]   700.0
17     17    85000.0  89999.0  [7873.5539999999855]      [-1.196822569498936]     [-1.2524472581431512]   [0.008289628140703519]   700.0
18     18    90000.0  94999.0   [7892.999999999984]     [-1.1235596213972396]     [-1.2650893123617728]   [0.008548633165829145]   700.0
19     19    95000.0  99999.0   [7892.999999999985]     [-1.4536069157722258]     [-1.2650893123617737]   [0.007094713567839203]   700.0
0       0        0.0   4999.0          [10872.9668]     [-1.1535907486948107]     [-1.1812152111206815]   [0.011207829145728607]   795.0
1       1     5000.0   9999.0  [10744.291000000001]     [-1.4591185954639516]     [-1.3834388184920665]   [0.010026502512562777]   795.0
2       2    10000.0  14999.0  [10743.000000000002]     [-1.3416511803033317]     [-1.3845440129230946]   [0.010221326633165795]   795.0
3       3    15000.0  19999.0  [10291.970400000002]      [-1.180648086279528]     [-1.3117411132027965]   [0.011168301507537651]   795.0
4       4    20000.0  24999.0  [10086.294000000002]     [-1.3481357723719072]     [-1.2783344984907454]   [0.009530231155778876]   795.0
5       5    25000.0  29999.0  [10117.000000000002]     [-1.2274398232414683]     [-1.2843014629452405]   [0.011333185929648194]   795.0
6       6    30000.0  34999.0  [10117.000000000002]     [-1.1806242586238096]     [-1.2843014629452405]   [0.010735859296482379]   795.0
7       7    35000.0  39999.0  [10108.253800000002]      [-1.070623129933777]     [-1.2784659449107763]   [0.011045407035175838]   795.0
8       8    40000.0  44999.0  [10074.000000000002]     [-1.3363615591971336]     [-1.2555140486466188]    [0.00995046231155776]   795.0
9       9    45000.0  49999.0   [9995.611800000002]     [-1.0872896567339396]     [-1.3318943810637114]   [0.012225396984924574]   795.0
10     10    50000.0  54999.0   [9753.000000000002]     [-1.5809390751431223]     [-1.5760723590788202]    [0.00873618090452261]   795.0
11     11    55000.0  59999.0   [9753.000000000002]      [-1.572623424390219]     [-1.5760723590788206]   [0.008623336683417096]   795.0
12     12    60000.0  64999.0   [9753.000000000002]     [-1.6069440268004427]     [-1.5760723590788202]   [0.007585075376884417]   795.0
13     13    65000.0  69999.0   [9753.000000000002]     [-1.6959382286615021]     [-1.5760723590788206]   [0.007486231155778893]   795.0
14     14    70000.0  74999.0   [9641.404800000002]      [-1.650893143791752]     [-1.5590606324832947]   [0.007676432160804015]   795.0
15     15    75000.0  79999.0   [9485.000000000002]     [-1.4493333755912925]     [-1.5345443935932586]   [0.009123748743718572]   795.0
16     16    80000.0  84999.0   [9485.000000000002]      [-1.406879122602801]     [-1.5345443935932586]   [0.008709115577889441]   795.0
17     17    85000.0  89999.0   [9485.000000000002]     [-1.4638031554845765]      [-1.534544393593259]   [0.008638321608040182]   795.0
18     18    90000.0  94999.0   [9485.000000000002]      [-1.320714792613114]      [-1.534544393593259]   [0.009469396984924605]   795.0
19     19    95000.0  99999.0   [9485.000000000002]      [-1.685435812238664]      [-1.534544393593259]   [0.006967306532663332]   795.0
0       0        0.0   4999.0            [9016.644]     [-0.8232980967491859]     [-0.7040079155030641]    [0.01166482412060298]   800.0
1       1     5000.0   9999.0   [8713.516400000002]     [-0.9764262441910637]     [-0.9224959173768781]    [0.01005852261306531]   800.0
2       2    10000.0  14999.0   [8713.000000000002]     [-0.9030267584837224]     [-0.9233523693426211]   [0.010292160804020085]   800.0
3       3    15000.0  19999.0   [8713.000000000002]     [-0.8245324516286948]     [-0.9233523693426207]    [0.01135426130653265]   800.0
4       4    20000.0  24999.0   [8812.294000000002]     [-1.0860452128383364]     [-0.9496784993896069]   [0.009811798994974861]   800.0
5       5    25000.0  29999.0   [8843.000000000002]     [-0.8578602213547557]     [-0.9576999950197729]    [0.01172070351758791]   800.0
6       6    30000.0  34999.0   [8843.000000000002]     [-0.9003751328171801]     [-0.9576999950197778]   [0.011139688442211021]   800.0
7       7    35000.0  39999.0   [8834.253800000002]     [-0.7989822114002835]     [-0.9519361734260104]   [0.011527517587939665]   800.0
